State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State
AK;630;630;349;55%;177;104;00:35;15:17
AL;2,438;2,438;1,543;63%;695;200;00:51;12:21
AR;1,087;1,087;952;88%;112;23;00:22;12:24
AS;3;3;0;0%;1;2;00:00;00:00
AZ;3,163;3,163;2,902;92%;199;62;00:16;09:34
CA;23,527;23,527;20,117;86%;3,303;107;00:40;12:38
CO;4,180;4,180;1,592;38%;1,379;1,209;00:40;13:04
CT;1,906;1,906;1,483;78%;302;121;00:57;10:09
DC;614;614;557;91%;44;13;00:17;07:28
DE;348;348;255;73%;62;31;00:23;09:38
FL;8,595;8,595;5,322;62%;2,027;1,246;00:36;11:56
GA;5,032;5,032;3,400;68%;1,294;338;00:26;13:21
GU;40;40;36;90%;4;0;00:21;09:05
HI;934;934;596;64%;191;147;00:29;08:53
IA;1,469;1,469;1,038;71%;363;68;00:47;10:46
ID;963;963;727;75%;170;66;00:32;15:40
IL;7,740;7,740;1,675;22%;2,090;3,975;00:24;12:13
IN;2,979;2,979;2,329;78%;248;402;00:18;13:52
KS;1,404;1,404;1,151;82%;190;63;00:22;15:46
KY;1,946;1,946;1,319;68%;422;205;00:30;13:54
LA;2,462;2,462;1,655;67%;493;314;00:28;14:58
MA;4,300;4,300;2,931;68%;1,157;212;00:57;09:39
MD;3,283;3,283;2,649;81%;627;7;00:41;12:13
ME;466;466;306;66%;155;5;00:43;09:30
MI;5,445;5,445;2,894;53%;1,375;1,176;00:46;11:03
MN;2,672;2,672;2,338;88%;312;22;00:50;14:40
MO;2,878;2,878;2,421;84%;413;44;00:34;14:49
MP;6;6;0;0%;1;5;00:00;00:00
MS;997;997;896;90%;95;6;00:20;08:49
MT;681;681;658;97%;21;2;00:13;12:20
NC;4,725;4,725;4,243;90%;382;100;00:22;08:28
ND;316;316;294;93%;18;4;00:16;11:36
NE;984;984;831;84%;123;30;00:31;13:30
NH;695;695;546;79%;82;67;00:21;11:28
NJ;3,905;3,905;3,029;78%;658;218;00:37;14:32
NM;1,463;1,463;1,036;71%;378;49;01:03;16:10
NV;1,712;1,712;1,302;76%;300;110;00:42;17:01
NY;12,070;12,070;7,716;64%;2,170;2,184;00:35;15:53
OH;5,374;5,374;3,133;58%;815;1,426;00:19;11:41
OK;1,615;1,615;1,237;77%;302;76;00:42;13:10
OR;3,239;3,239;2,527;78%;476;236;00:35;18:55
Other;5,882;5,882;1,771;30%;367;3,744;00:34;11:44
PA;4,823;4,823;4,131;86%;594;98;00:32;11:40
PR;199;199;84;42%;88;27;00:46;09:37
RI;301;301;299;99%;1;1;00:08;10:45
SC;2,905;2,905;2,240;77%;514;151;00:28;14:42
SD;261;261;218;84%;39;4;00:24;17:29
TN;3,158;3,158;2,636;83%;510;12;00:23;09:02
TX;12,489;12,489;5,544;44%;2,791;4,154;00:26;14:10
UT;2,199;2,199;1,743;79%;248;208;00:24;15:29
VA;4,289;4,289;3,553;83%;684;52;00:44;12:00
VI;29;29;0;0%;7;22;00:00;00:00
VT;400;400;328;82%;53;19;00:18;14:44
WA;4,568;4,568;3,152;69%;1,071;345;00:31;11:06
WI;3,776;3,776;3,317;88%;406;53;00:28;17:32
WV;859;859;773;90%;77;9;00:24;16:54
WY;269;269;179;67%;40;50;00:14;16:12
