Country;Continent;ISO_Code;Level;GDLCODE;Year;Region;Value;STATE;YEAR;RATE;DEATHS;URL
United States;America;USA;Subnat;USAr101;2021;Alabama;0.881;AL;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
United States;America;USA;Subnat;USAr102;2021;Alaska;0.93;AK;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
United States;America;USA;Subnat;USAr103;2021;Arizona;0.908;AZ;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
United States;America;USA;Subnat;USAr104;2021;Arkansas;0.881;AR;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
United States;America;USA;Subnat;USAr105;2021;California;0.931;CA;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
United States;America;USA;Subnat;USAr106;2021;Colorado;0.942;CO;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
United States;America;USA;Subnat;USAr107;2021;Connecticut;0.948;CT;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
United States;America;USA;Subnat;USAr108;2021;Delaware;0.929;DE;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
United States;America;USA;Subnat;USAr110;2021;Florida;0.911;FL;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
United States;America;USA;Subnat;USAr111;2021;Georgia;0.904;GA;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
United States;America;USA;Subnat;USAr112;2021;Hawaii;0.94;HI;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
United States;America;USA;Subnat;USAr113;2021;Idaho;0.907;ID;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
United States;America;USA;Subnat;USAr114;2021;Illinois;0.929;IL;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
United States;America;USA;Subnat;USAr115;2021;Indiana;0.907;IN;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
United States;America;USA;Subnat;USAr116;2021;Iowa;0.93;IA;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
United States;America;USA;Subnat;USAr117;2021;Kansas;0.922;KS;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
United States;America;USA;Subnat;USAr118;2021;Kentucky;0.884;KY;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
United States;America;USA;Subnat;USAr119;2021;Louisiana;0.888;LA;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
United States;America;USA;Subnat;USAr120;2021;Maine;0.917;ME;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
United States;America;USA;Subnat;USAr121;2021;Maryland;0.936;MD;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
United States;America;USA;Subnat;USAr122;2021;Massachusetts;0.949;MA;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
United States;America;USA;Subnat;USAr123;2021;Michigan;0.913;MI;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
United States;America;USA;Subnat;USAr124;2021;Minnesota;0.947;MN;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
United States;America;USA;Subnat;USAr125;2021;Mississippi;0.866;MS;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
United States;America;USA;Subnat;USAr126;2021;Missouri;0.907;MO;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
United States;America;USA;Subnat;USAr127;2021;Montana;0.916;MT;2021;32;350;/nchs/pressroom/states/montana/mt.htm
United States;America;USA;Subnat;USAr128;2021;Nebraska;0.933;NE;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
United States;America;USA;Subnat;USAr129;2021;Nevada;0.904;NV;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
