YEAR;State;RATE;DEATHS;URL
2021;AL;15.8;827;/nchs/pressroom/states/alabama/al.htm
2021;AK;30.8;220;/nchs/pressroom/states/alaska/ak.htm
2021;AZ;19.5;1475;/nchs/pressroom/states/arizona/az.htm
2021;AR;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
2021;CA;10.1;4148;/nchs/pressroom/states/california/ca.htm
2021;CO;22.8;1384;/nchs/pressroom/states/colorado/co.htm
2021;CT;10;401;/nchs/pressroom/states/connecticut/ct.htm
2021;DE;13.6;137;/nchs/pressroom/states/delaware/de.htm
2021;FL;14;3351;/nchs/pressroom/states/florida/fl.htm
2021;GA;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
2021;HI;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
2021;ID;20.5;387;/nchs/pressroom/states/idaho/id.htm
2021;IL;11.1;1454;/nchs/pressroom/states/illinois/il.htm
2021;IN;16.4;1129;/nchs/pressroom/states/indiana/in.htm
2021;IA;17.5;549;/nchs/pressroom/states/iowa/ia.htm
2021;KS;19.4;560;/nchs/pressroom/states/kansas/ks.htm
2021;KY;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
2021;LA;14.8;689;/nchs/pressroom/states/louisiana/la.htm
2021;ME;19.5;277;/nchs/pressroom/states/maine/me.htm
2021;MD;9.7;620;/nchs/pressroom/states/maryland/md.htm
2021;MA;8;604;/nchs/pressroom/states/massachusetts/ma.htm
2021;MI;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
2021;MN;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
2021;MS;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
2021;MO;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
2021;MT;32;350;/nchs/pressroom/states/montana/mt.htm
2021;NE;15;288;/nchs/pressroom/states/nebraska/ne.htm
2021;NV;21.5;691;/nchs/pressroom/states/nevada/nv.htm
2021;NH;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
2021;NJ;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
2021;NM;25;533;/nchs/pressroom/states/newmexico/nm.htm
2021;NY;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
2021;NC;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
2021;ND;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
2021;OH;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
2021;OK;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
2021;OR;19.5;889;/nchs/pressroom/states/oregon/or.htm
2021;PA;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
2021;RI;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
2021;SC;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
2021;SD;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
2021;TN;17;1222;/nchs/pressroom/states/tennessee/tn.htm
2021;TX;14.2;4193;/nchs/pressroom/states/texas/tx.htm
2021;UT;20.1;643;/nchs/pressroom/states/utah/ut.htm
2021;VT;20.3;142;/nchs/pressroom/states/vermont/vt.htm
2021;VA;13.2;1188;/nchs/pressroom/states/virginia/va.htm
2021;WA;15.3;1229;/nchs/pressroom/states/washington/wa.htm
2021;WV;20.6;375;/nchs/pressroom/states/westvirginia/wv.htm
2021;WI;15.1;905;/nchs/pressroom/states/wisconsin/wi.htm
2021;WY;32.3;190;/nchs/pressroom/states/wyoming/wy.htm
