State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;639;639;387;0.61;180;72;00:39;14:47;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2264;2264;1366;0.6;701;197;00:50;11:26;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1245;1245;949;0.76;235;61;00:32;13:25;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;3396;3396;3117;0.92;224;55;00:16;09:44;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;22726;22726;19938;0.88;2699;89;00:36;13:20;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;4244;4244;2620;0.62;937;687;00:55;15:01;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1561;1561;881;0.56;438;242;00:58;13:06;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;393;393;289;0.74;67;37;00:25;10:43;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;8243;8243;6328;0.77;1521;394;00:44;11:51;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;4524;4524;3374;0.75;847;303;00:27;15:35;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;744;744;647;0.87;59;38;00:15;11:11;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1378;1378;906;0.66;366;106;00:55;12:25;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1034;1034;868;0.84;72;94;00:16;15:45;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7230;7230;1327;0.18;1688;4215;00:27;13:30;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;3324;3324;2084;0.63;856;384;00:19;14:53;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1469;1469;1037;0.71;192;240;00:18;15:02;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;1981;1981;1510;0.76;320;151;00:23;15:08;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;1967;1967;997;0.51;483;487;00:40;14:31;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;3746;3746;2761;0.74;774;211;01:02;09:51;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;3052;3052;2534;0.83;511;7;00:45;12:44;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;419;419;339;0.81;79;1;00:40;10:20;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;4996;4996;3195;0.64;1071;730;00:41;11:36;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2911;2911;1341;0.46;773;797;00:41;16:55;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;2952;2952;2291;0.78;560;101;00:51;15:08;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;1059;1059;940;0.89;97;22;00:18;07:52;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;607;607;533;0.88;67;7;00:31;11:21;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;4828;4828;3562;0.74;584;682;00:21;08:23;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;367;367;331;0.9;17;19;00:30;13:02;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
NE;956;956;728;0.76;178;50;00:43;11:52;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
NH;591;591;443;0.75;64;84;00:20;12:08;2021;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
NJ;3762;3762;2866;0.76;754;142;00:40;13:18;2021;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
NM;1383;1383;1085;0.78;263;35;00:48;16:29;2021;25;533;/nchs/pressroom/states/newmexico/nm.htm
NV;1624;1624;1169;0.72;357;98;00:45;12:33;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
NY;11565;11565;7629;0.66;1971;1965;00:32;15:35;2021;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
OH;5042;5042;3139;0.62;628;1275;00:19;11:25;2021;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
OK;1683;1683;1218;0.72;371;94;00:44;15:41;2021;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
OR;3212;3212;2281;0.71;639;292;00:39;16:51;2021;19.5;889;/nchs/pressroom/states/oregon/or.htm
PA;4930;4930;4007;0.81;768;155;00:32;12:17;2021;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
RI;371;371;360;0.97;11;0;00:07;10:30;2021;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
SC;2316;2316;1640;0.71;327;349;00:30;14:27;2021;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
SD;293;293;257;0.88;32;4;00:27;16:27;2021;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
TN;2648;2648;2026;0.77;487;135;00:28;09:15;2021;17;1222;/nchs/pressroom/states/tennessee/tn.htm
TX;13751;13751;5580;0.41;2547;5624;00:22;12:06;2021;14.2;4193;/nchs/pressroom/states/texas/tx.htm
UT;2173;2173;1499;0.69;367;307;00:26;17:11;2021;20.1;643;/nchs/pressroom/states/utah/ut.htm
VA;4486;4486;2994;0.67;1215;277;01:19;10:59;2021;13.2;1188;/nchs/pressroom/states/virginia/va.htm
VT;344;344;298;0.87;18;28;00:21;15:33;2021;20.3;142;/nchs/pressroom/states/vermont/vt.htm
WA;4267;4267;3174;0.74;731;362;00:33;10:30;2021;15.3;1229;/nchs/pressroom/states/washington/wa.htm
WI;3298;3298;3041;0.92;234;23;00:21;14:07;2021;15.1;905;/nchs/pressroom/states/wisconsin/wi.htm
WV;1124;1124;1020;0.91;100;4;00:25;12:54;2021;20.6;375;/nchs/pressroom/states/westvirginia/wv.htm
WY;212;212;78;0.37;40;94;00:13;13:36;2021;32.3;190;/nchs/pressroom/states/wyoming/wy.htm
