State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;618;618;327;0.53;182;109;00:34;13:11;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2218;2218;1299;0.59;730;189;00:55;13:04;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1265;1265;935;0.74;264;66;00:30;11:26;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;3171;3171;2875;0.91;247;49;00:16;09:41;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;22378;22378;19334;0.86;2978;66;00:44;12:46;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;3945;3945;2524;0.64;896;525;00:39;15:23;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1865;1865;1023;0.55;539;303;01:03;11:41;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;335;335;257;0.77;51;27;00:24;09:46;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;8415;8415;5915;0.7;1864;636;00:42;12:13;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;4747;4747;3089;0.65;1230;428;00:26;16:16;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;858;858;631;0.74;171;56;00:30;09:20;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1269;1269;891;0.7;300;78;00:52;12:11;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1066;1066;895;0.84;94;77;00:17;16:03;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7179;7179;1372;0.19;1931;3876;00:23;14:33;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;3350;3350;2468;0.74;520;362;00:21;12:22;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1431;1431;1180;0.82;133;118;00:18;15:24;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;1947;1947;1411;0.72;356;180;00:28;14:14;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;2111;2111;1366;0.65;422;323;00:25;16:50;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;5066;5066;3706;0.73;1123;237;00:48;07:56;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;2877;2877;2377;0.83;497;3;00:44;13:13;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;412;412;330;0.8;81;1;00:42;10:25;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;5529;5529;3575;0.65;1296;658;00:41;12:05;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2702;2702;1431;0.53;662;609;00:34;14:37;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;2975;2975;2453;0.82;447;75;00:34;13:56;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;973;973;888;0.91;68;17;00:18;08:51;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;824;824;793;0.96;28;3;00:13;10:53;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;4688;4688;4240;0.9;377;71;00:21;08:01;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;407;407;371;0.91;31;5;00:15;10:12;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
NE;1008;1008;796;0.79;174;38;00:34;12:35;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
NH;650;650;528;0.81;56;66;00:19;08:37;2021;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
NJ;3831;3831;3017;0.79;622;192;00:40;13:53;2021;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
NM;1369;1369;1020;0.75;296;53;00:56;17:06;2021;25;533;/nchs/pressroom/states/newmexico/nm.htm
NV;1848;1848;1338;0.72;378;132;00:43;15:35;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
NY;12356;12356;7381;0.6;2391;2584;00:32;14:43;2021;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
OH;5247;5247;2913;0.56;925;1409;00:21;11:51;2021;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
OK;1659;1659;1207;0.73;368;84;00:41;14:37;2021;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
OR;3421;3421;2426;0.71;692;303;00:34;17:09;2021;19.5;889;/nchs/pressroom/states/oregon/or.htm
PA;4740;4740;3909;0.82;712;119;00:34;13:22;2021;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
RI;313;313;307;0.98;5;1;00:08;08:09;2021;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
SC;2349;2349;1784;0.76;440;125;00:27;14:58;2021;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
SD;282;282;249;0.88;30;3;00:21;16:20;2021;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
TN;2907;2907;2439;0.84;453;15;00:24;09:31;2021;17;1222;/nchs/pressroom/states/tennessee/tn.htm
TX;12994;12994;5043;0.39;2999;4952;00:23;14:38;2021;14.2;4193;/nchs/pressroom/states/texas/tx.htm
UT;1955;1955;1466;0.75;250;239;00:26;16:37;2021;20.1;643;/nchs/pressroom/states/utah/ut.htm
VA;4372;4372;3368;0.77;916;88;00:59;10:36;2021;13.2;1188;/nchs/pressroom/states/virginia/va.htm
VT;327;327;291;0.89;19;17;00:18;14:52;2021;20.3;142;/nchs/pressroom/states/vermont/vt.htm
WA;4609;4609;3245;0.7;950;414;00:32;12:11;2021;15.3;1229;/nchs/pressroom/states/washington/wa.htm
WI;3996;3996;3401;0.85;521;74;00:24;17:41;2021;15.1;905;/nchs/pressroom/states/wisconsin/wi.htm
WV;745;745;663;0.89;78;4;00:24;18:22;2021;20.6;375;/nchs/pressroom/states/westvirginia/wv.htm
WY;363;363;166;0.46;60;137;00:12;15:48;2021;32.3;190;/nchs/pressroom/states/wyoming/wy.htm
