State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;563;563;240;0.43;202;121;01:00;16:45;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2247;2247;1374;0.61;740;133;00:52;11:52;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1347;1347;934;0.69;322;91;00:30;12:12;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;3054;3054;2785;0.91;212;57;00:17;09:52;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;22327;22327;19564;0.88;2665;98;00:36;13:02;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;3780;3780;2719;0.72;690;371;00:53;16:20;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1536;1536;911;0.59;399;226;00:58;12:58;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;409;409;291;0.71;94;24;00:27;11:32;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;8361;8361;6472;0.77;1544;345;00:41;11:16;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;4744;4744;3367;0.71;1057;320;00:26;16:54;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;744;744;647;0.87;61;36;00:15;10:01;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1398;1398;853;0.61;412;133;01:03;13:10;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1020;1020;879;0.86;58;83;00:17;15:29;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7376;7376;1430;0.19;1667;4279;00:26;14:00;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;3201;3201;2150;0.67;663;388;00:19;14:53;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1371;1371;987;0.72;193;191;00:20;15:02;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;2088;2088;1559;0.75;313;216;00:21;13:34;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;2252;2252;1264;0.56;520;468;00:35;14:09;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;3505;3505;2688;0.77;670;147;01:00;09:45;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;3268;3268;2657;0.81;601;10;00:44;12:37;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;420;420;350;0.83;70;0;00:38;10:01;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;5386;5386;3504;0.65;1157;725;00:42;11:12;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2885;2885;1078;0.37;929;878;00:40;14:13;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;2824;2824;2255;0.8;509;60;00:48;14:52;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;1200;1200;1083;0.9;100;17;00:19;07:07;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;674;674;612;0.91;62;0;00:31;12:39;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;4964;4964;4138;0.83;524;302;00:21;07:59;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;339;339;289;0.85;35;15;00:31;12:48;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
NE;1002;1002;729;0.73;209;64;00:45;12:41;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
NH;614;614;473;0.77;60;81;00:22;10:59;2021;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
NJ;3708;3708;2846;0.77;691;171;00:40;13:44;2021;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
NM;1362;1362;1065;0.78;272;25;00:49;16:58;2021;25;533;/nchs/pressroom/states/newmexico/nm.htm
NV;1829;1829;1397;0.76;354;78;00:42;11:19;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
NY;12496;12496;7852;0.63;2927;1717;00:32;15:15;2021;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
OH;5183;5183;3455;0.67;583;1145;00:20;11:03;2021;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
OK;1584;1584;1139;0.72;356;89;00:44;15:12;2021;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
OR;3169;3169;2273;0.72;600;296;00:37;16:28;2021;19.5;889;/nchs/pressroom/states/oregon/or.htm
PA;5188;5188;4284;0.83;768;136;00:33;12:21;2021;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
RI;370;370;364;0.98;6;0;00:07;08:46;2021;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
SC;2205;2205;1525;0.69;332;348;00:31;13:13;2021;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
SD;305;305;267;0.88;33;5;00:26;18:14;2021;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
TN;2846;2846;2108;0.74;586;152;00:30;09:12;2021;17;1222;/nchs/pressroom/states/tennessee/tn.htm
TX;12552;12552;4974;0.4;2398;5180;00:27;13:30;2021;14.2;4193;/nchs/pressroom/states/texas/tx.htm
UT;2191;2191;1529;0.7;402;260;00:26;16:30;2021;20.1;643;/nchs/pressroom/states/utah/ut.htm
VA;4192;4192;2909;0.69;1086;197;01:15;10:51;2021;13.2;1188;/nchs/pressroom/states/virginia/va.htm
VT;226;226;190;0.84;27;9;00:23;20:47;2021;20.3;142;/nchs/pressroom/states/vermont/vt.htm
WA;4350;4350;3262;0.75;744;344;00:32;10:26;2021;15.3;1229;/nchs/pressroom/states/washington/wa.htm
WI;3133;3133;2925;0.93;201;7;00:22;13:52;2021;15.1;905;/nchs/pressroom/states/wisconsin/wi.htm
WV;1052;1052;915;0.87;126;11;00:26;13:38;2021;20.6;375;/nchs/pressroom/states/westvirginia/wv.htm
WY;238;238;119;0.5;33;86;00:15;15:23;2021;32.3;190;/nchs/pressroom/states/wyoming/wy.htm
