State;Routed;Received;Answered In-State
Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;593;593;328;0.55;204;61;00:37;12:58;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2139;2139;1411;0.66;587;141;00:52;12:26;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1148;1148;856;0.75;236;56;00:29;11:25;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;2967;2967;2718;0.92;175;74;00:16;10:09;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;23354;23354;19992;0.86;3280;82;00:44;12:16;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;4569;4569;2755;0.6;1070;744;00:43;15:16;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1590;1590;960;0.6;383;247;00:58;13:18;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;341;341;258;0.76;52;31;00:26;11:19;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;8322;8322;6235;0.75;1535;552;00:42;11:38;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;4558;4558;3080;0.68;997;481;00:25;16:23;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;934;934;681;0.73;179;74;00:27;09:21;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1435;1435;1006;0.7;339;90;00:54;11:41;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1047;1047;875;0.84;70;102;00:17;17:26;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7234;7234;1374;0.19;1513;4347;00:25;14:05;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;2819;2819;1993;0.71;386;440;00:22;13:31;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1404;1404;1146;0.82;135;123;00:17;15:28;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;2049;2049;1539;0.75;355;155;00:29;13:15;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;2225;2225;979;0.44;627;619;00:31;17:02;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;4401;4401;3386;0.77;826;189;00:46;08:15;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;3013;3013;2425;0.8;578;10;00:47;13:56;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;390;390;328;0.84;61;1;00:37;10:55;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;5280;5280;3434;0.65;1131;715;00:43;12:07;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2755;2755;1312;0.48;717;726;00:35;15:06;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;2915;2915;2300;0.79;521;94;00:39;14:11;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;1000;1000;909;0.91;66;25;00:18;07:47;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;631;631;608;0.96;23;0;00:12;11:35;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;4310;4310;3918;0.91;319;73;00:21;08:08;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;416;416;368;0.88;31;17;00:16;11:11;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
NE;923;923;765;0.83;122;36;00:31;13:15;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
NH;562;562;442;0.79;54;66;00:20;11:28;2021;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
NJ;3600;3600;2802;0.78;609;189;00:42;14:18;2021;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
NM;1377;1377;953;0.69;341;83;01:02;17:25;2021;25;533;/nchs/pressroom/states/newmexico/nm.htm
NV;1655;1655;1295;0.78;290;70;00:40;15:07;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
NY;11636;11636;7234;0.62;2089;2313;00:33;16:05;2021;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
OH;5159;5159;3020;0.59;666;1473;00:20;11:11;2021;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
OK;1692;1692;1212;0.72;382;98;00:45;14:31;2021;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
OR;3340;3340;2498;0.75;526;316;00:36;17:52;2021;19.5;889;/nchs/pressroom/states/oregon/or.htm
PA;4603;4603;3900;0.85;618;85;00:32;12:42;2021;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
RI;337;337;334;0.99;3;0;00:07;07:49;2021;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
SC;2387;2387;1770;0.74;500;117;00:27;15:48;2021;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
SD;331;331;291;0.88;33;7;00:25;18:09;2021;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
TN;2718;2718;2257;0.83;455;6;00:24;09:29;2021;17;1222;/nchs/pressroom/states/tennessee/tn.htm
TX;12336;12336;4776;0.39;2476;5084;00:24;13:50;2021;14.2;4193;/nchs/pressroom/states/texas/tx.htm
UT;2174;2174;1465;0.67;403;306;00:25;17:15;2021;20.1;643;/nchs/pressroom/states/utah/ut.htm
VA;4294;4294;3160;0.74;977;157;01:02;11:23;2021;13.2;1188;/nchs/pressroom/states/virginia/va.htm
VT;335;335;281;0.84;22;32;00:21;18:01;2021;20.3;142;/nchs/pressroom/states/vermont/vt.htm
WA;4431;4431;3261;0.74;812;358;00:32;11:18;2021;15.3;1229;/nchs/pressroom/states/washington/wa.htm
