State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;618;618;306;0.5;211;101;00:27;13:14;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2520;2520;1649;0.65;701;170;00:50;10:42;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1416;1416;1049;0.74;293;74;00:32;12:00;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;3942;3942;3580;0.91;254;108;00:17;08:40;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;24524;24524;20808;0.85;3544;172;00:45;12:04;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;4584;4584;2642;0.58;1166;776;00:49;15:11;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1762;1762;981;0.56;507;274;01:02;13:24;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;407;407;303;0.74;72;32;00:25;09:34;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;9308;9308;6963;0.75;1828;517;00:42;11:44;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;5053;5053;2824;0.56;1497;732;00:29;17:59;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;956;956;687;0.72;159;110;00:19;08:56;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1342;1342;962;0.72;303;77;00:54;11:13;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1121;1121;919;0.82;104;98;00:16;16:10;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7863;7863;1398;0.18;1789;4676;00:26;14:54;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;3173;3173;2318;0.73;460;395;00:22;13:22;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1566;1566;1254;0.8;164;148;00:18;14:32;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;2132;2132;1561;0.73;390;181;00:28;15:46;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;2296;2296;762;0.33;556;978;00:32;15:32;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;3923;3923;2751;0.7;924;248;00:55;09:05;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;3440;3440;2784;0.81;639;17;00:57;13:15;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;444;444;371;0.84;71;2;00:40;10:10;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;5741;5741;3664;0.64;1292;785;00:44;11:58;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2991;2991;1520;0.51;772;699;00:36;15:06;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;3112;3112;2402;0.77;593;117;00:43;14:17;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;1199;1199;1066;0.89;109;24;00:17;08:30;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;598;598;572;0.96;26;0;00:12;11:01;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;5115;5115;4443;0.87;465;207;00:22;07:31;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;358;358;317;0.89;25;16;00:16;14:18;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
