State;Routed;Received;Answered In-State;In-State Answer Rate;Abandoned In-State;Flowout to Backup;ASA In-State;Avg. Talk Time In-State;YEAR;RATE;DEATHS;URL
AK;644;644;436;0.68;154;54;00:30;14:38;2021;30.8;220;/nchs/pressroom/states/alaska/ak.htm
AL;2363;2363;1492;0.63;698;173;00:54;11:33;2021;15.8;827;/nchs/pressroom/states/alabama/al.htm
AR;1335;1335;951;0.71;328;56;00:39;11:33;2021;20.6;618;/nchs/pressroom/states/arkansas/ar.htm
AZ;3688;3688;3367;0.91;254;67;00:17;09:19;2021;19.5;1475;/nchs/pressroom/states/arizona/az.htm
CA;24288;24288;20565;0.85;3549;174;00:41;12:54;2021;10.1;4148;/nchs/pressroom/states/california/ca.htm
CO;4095;4095;2398;0.59;1060;637;00:59;15:32;2021;22.8;1384;/nchs/pressroom/states/colorado/co.htm
CT;1617;1617;951;0.59;433;233;01:01;13:02;2021;10;401;/nchs/pressroom/states/connecticut/ct.htm
DE;401;401;282;0.7;85;34;00:26;09:46;2021;13.6;137;/nchs/pressroom/states/delaware/de.htm
FL;8691;8691;6741;0.78;1636;314;00:42;11:40;2021;14;3351;/nchs/pressroom/states/florida/fl.htm
GA;4731;4731;2955;0.62;1255;521;00:27;16:20;2021;15.3;1676;/nchs/pressroom/states/georgia/ga.htm
HI;860;860;754;0.88;67;39;00:15;10:24;2021;13.7;202;/nchs/pressroom/states/hawaii/hi.htm
IA;1418;1418;942;0.66;381;95;00:57;12:11;2021;17.5;549;/nchs/pressroom/states/iowa/ia.htm
ID;1035;1035;827;0.8;104;104;00:17;16:24;2021;20.5;387;/nchs/pressroom/states/idaho/id.htm
IL;7461;7461;1180;0.16;2176;4105;00:32;14:27;2021;11.1;1454;/nchs/pressroom/states/illinois/il.htm
IN;3048;3048;2015;0.66;718;315;00:19;14:26;2021;16.4;1129;/nchs/pressroom/states/indiana/in.htm
KS;1626;1626;1286;0.79;174;166;00:18;15:28;2021;19.4;560;/nchs/pressroom/states/kansas/ks.htm
KY;1921;1921;1534;0.8;267;120;00:23;14:14;2021;17.9;816;/nchs/pressroom/states/kentucky/ky.htm
LA;2303;2303;83;0.04;668;1552;00:50;17:55;2021;14.8;689;/nchs/pressroom/states/louisiana/la.htm
MA;4152;4152;2633;0.63;1152;367;01:08;09:35;2021;8;604;/nchs/pressroom/states/massachusetts/ma.htm
MD;3122;3122;2577;0.83;540;5;00:51;13:45;2021;9.7;620;/nchs/pressroom/states/maryland/md.htm
ME;442;442;362;0.82;80;0;00:43;09:59;2021;19.5;277;/nchs/pressroom/states/maine/me.htm
MI;5457;5457;3433;0.63;1308;716;00:45;11:31;2021;14.3;1485;/nchs/pressroom/states/michigan/mi.htm
MN;2730;2730;1332;0.49;729;669;00:39;16:21;2021;13.9;808;/nchs/pressroom/states/minnesota/mn.htm
MO;2986;2986;2194;0.73;681;111;00:50;15:00;2021;18.7;1177;/nchs/pressroom/states/missouri/mo.htm
MS;1136;1136;1019;0.9;90;27;00:18;08:19;2021;16.2;480;/nchs/pressroom/states/mississippi/ms.htm
MT;530;530;464;0.88;59;7;00:30;11:53;2021;32;350;/nchs/pressroom/states/montana/mt.htm
NC;4880;4880;3003;0.62;788;1089;00:21;06:41;2021;13.2;1448;/nchs/pressroom/states/northcarolina/nc.htm
ND;329;329;281;0.85;26;22;00:30;12:21;2021;20.8;156;/nchs/pressroom/states/northdakota/nd.htm
NE;1132;1132;781;0.69;244;107;00:35;12:01;2021;15;288;/nchs/pressroom/states/nebraska/ne.htm
NH;584;584;429;0.73;71;84;00:21;10:32;2021;15.1;223;/nchs/pressroom/states/newhampshire/nh.htm
NJ;3875;3875;2972;0.77;716;187;00:42;13:01;2021;7.1;688;/nchs/pressroom/states/newjersey/nj.htm
NM;1647;1647;1256;0.76;322;69;01:01;16:51;2021;25;533;/nchs/pressroom/states/newmexico/nm.htm
NV;1737;1737;1091;0.63;486;160;00:49;13:41;2021;21.5;691;/nchs/pressroom/states/nevada/nv.htm
NY;11843;11843;7517;0.63;2220;2106;00:34;15:52;2021;7.9;1660;/nchs/pressroom/states/newyork/ny.htm
OH;5182;5182;3330;0.64;680;1172;00:19;10:48;2021;14.6;1766;/nchs/pressroom/states/ohio/oh.htm
OK;1876;1876;1350;0.72;433;93;00:47;14:04;2021;22.1;877;/nchs/pressroom/states/oklahoma/ok.htm
OR;3296;3296;2390;0.73;641;265;00:38;17:49;2021;19.5;889;/nchs/pressroom/states/oregon/or.htm
PA;5082;5082;4248;0.84;711;123;00:32;12:02;2021;13.9;1885;/nchs/pressroom/states/pennsylvania/pa.htm
RI;377;377;368;0.98;8;1;00:07;08:42;2021;10.3;117;/nchs/pressroom/states/rhodeisland/ri.htm
SC;2586;2586;1738;0.67;516;332;00:31;14:29;2021;15.2;802;/nchs/pressroom/states/southcarolina/sc.htm
SD;337;337;287;0.85;43;7;00:29;17:04;2021;23.2;203;/nchs/pressroom/states/southdakota/sd.htm
TN;2928;2928;2196;0.75;579;153;00:29;09:14;2021;17;1222;/nchs/pressroom/states/tennessee/tn.htm
TX;14206;14206;5301;0.37;3456;5449;00:26;12:59;2021;14.2;4193;/nchs/pressroom/states/texas/tx.htm
UT;2245;2245;1350;0.6;446;449;00:30;17:51;2021;20.1;643;/nchs/pressroom/states/utah/ut.htm
VA;4590;4590;3214;0.7;1138;238;01:10;11:28;2021;13.2;1188;/nchs/pressroom/states/virginia/va.htm
VT;289;289;244;0.84;27;18;00:22;14:14;2021;20.3;142;/nchs/pressroom/states/vermont/vt.htm
WA;4151;4151;3065;0.74;783;303;00:33;10:44;2021;15.3;1229;/nchs/pressroom/states/washington/wa.htm
WI;3501;3501;3256;0.93;225;20;00:22;14:38;2021;15.1;905;/nchs/pressroom/states/wisconsin/wi.htm
WV;975;975;866;0.89;103;6;00:33;12:28;2021;20.6;375;/nchs/pressroom/states/westvirginia/wv.htm
WY;232;232;103;0.44;47;82;00:15;12:58;2021;32.3;190;/nchs/pressroom/states/wyoming/wy.htm
